local_ts,safety,stall_mask,tick_ms,batt_mv,batt_ma,curr_0,curr_1,curr_2,curr_3,curr_4,curr_5,temp_c,batt_t_0,batt_t_1,batt_t_2,batt_t_3,batt_t_4,batt_t_5,dist_mm,enc_l,enc_r,x_mm,y_mm,theta_mrad,dist_far_mm
1777176829.217212,WARN,000000,480,0,0,-6710,-6604,-6367,-6050,-5785,-5521,0,46,46,47,47,48,49,0,0,0,0,0,0,0
1777176829.7701426,WARN,000000,980,0,0,-5891,-5785,-5838,-5865,-5865,-6023,0,48,48,49,51,53,55,0,0,0,0,0,0,0
1777176829.7812986,WARN,000000,980,0,0,-5891,-5785,-5838,-5865,-5865,-6023,0,48,48,49,51,53,55,0,0,0,0,0,0,0
1777176830.3375964,LIMIT,000000,1480,0,0,-5838,-5759,-5838,-5944,-6076,-6208,0,48,49,50,52,54,56,0,0,0,0,0,0,0
1777176830.8907886,LIMIT,000000,1980,0,0,-5759,-5706,-5812,-5917,-6076,-6314,0,53,56,56,56,56,55,0,0,0,0,0,0,0
1777176830.902194,LIMIT,000000,1980,0,0,-5759,-5706,-5812,-5917,-6076,-6314,0,53,56,56,56,56,55,0,0,0,0,0,0,0
1777176831.455362,LIMIT,000000,2480,0,0,-5838,-5838,-5865,-5891,-5944,-6182,0,48,50,52,54,55,56,0,0,0,0,0,0,0
1777176832.0116546,LIMIT,000000,2980,0,0,-6102,-6182,-6446,-6842,-7212,-7635,0,55,53,51,50,49,49,0,0,0,0,0,0,0
1777176832.0230339,LIMIT,000000,2980,0,0,-6102,-6182,-6446,-6842,-7212,-7635,0,55,53,51,50,49,49,0,0,0,0,0,0,0
1777176832.5762641,LIMIT,000000,3480,0,0,-5680,-5759,-5891,-6023,-6287,-6710,0,55,57,56,55,53,51,0,0,0,0,0,0,0
1777176833.1294107,LIMIT,000000,3980,0,0,-5733,-6102,-6604,-7053,-7423,-7688,0,53,50,49,49,49,49,0,0,0,0,0,0,0
1777176833.1407962,LIMIT,000000,3980,0,0,-5733,-6102,-6604,-7053,-7423,-7688,0,53,50,49,49,49,49,0,0,0,0,0,0,0
1777176833.6971698,LIMIT,000000,4480,0,0,-6657,-7027,-7318,-7503,-7635,-7714,0,51,49,48,48,48,49,0,0,0,0,0,0,0
1777176834.2502804,LIMIT,000000,4980,0,0,-7371,-7555,-7450,-7133,-6684,-6208,0,48,47,47,48,48,48,0,0,0,0,0,0,0
1777176834.261657,LIMIT,000000,4980,0,0,-7371,-7555,-7450,-7133,-6684,-6208,0,48,47,47,48,48,48,0,0,0,0,0,0,0
1777176834.8148236,LIMIT,000000,5480,0,0,-6710,-7159,-7450,-7555,-7529,-7159,0,49,48,48,48,48,48,0,0,0,0,0,0,0
1777176835.3711917,LIMIT,000000,5980,0,0,-5944,-5812,-5891,-5997,-6129,-6234,0,48,49,50,52,54,55,0,0,0,0,0,0,0
1777176835.3825974,LIMIT,000000,5980,0,0,-5944,-5812,-5891,-5997,-6129,-6234,0,48,49,50,52,54,55,0,0,0,0,0,0,0
1777176835.9357028,LIMIT,000000,6480,0,0,-7053,-6763,-6446,-6208,-6076,-5944,0,47,47,47,48,49,51,0,0,0,0,0,0,0
1777176836.4888985,LIMIT,000000,6980,0,0,-5865,-5865,-5891,-5891,-5944,-6208,0,49,50,52,54,56,56,0,0,0,0,0,0,0
1777176836.5002918,LIMIT,000000,6980,0,0,-5865,-5865,-5891,-5891,-5944,-6208,0,49,50,52,54,56,56,0,0,0,0,0,0,0
1777176837.0567021,LIMIT,000000,7480,0,0,-5812,-5891,-5997,-6076,-6129,-6182,0,51,54,55,56,57,57,0,0,0,0,0,0,0
1777176837.6099057,LIMIT,000000,7980,0,0,-5680,-5759,-5891,-6076,-6446,-6948,0,56,57,55,53,51,51,0,0,0,0,0,0,0
1777176837.6213164,LIMIT,000000,7980,0,0,-5680,-5759,-5891,-6076,-6446,-6948,0,56,57,55,53,51,51,0,0,0,0,0,0,0
1777176838.174546,LIMIT,000000,8480,0,0,-5838,-5759,-5759,-5759,-5891,-6340,0,54,57,57,57,56,55,0,0,0,0,0,0,0
1777176838.730883,LIMIT,000000,8980,0,0,-7053,-7423,-7635,-7714,-7714,-7476,0,50,48,48,48,48,49,0,0,0,0,0,0,0
1777176838.7422695,LIMIT,000000,8980,0,0,-7053,-7423,-7635,-7714,-7714,-7476,0,50,48,48,48,48,49,0,0,0,0,0,0,0
1777176839.295438,LIMIT,000000,9480,0,0,-5917,-6261,-6763,-7186,-7503,-7793,0,53,50,49,49,48,49,0,0,0,0,0,0,0
