# debug_fl_bisect v1.0 - FL continuo, desenmascara INT uno a uno
# csv_cols=t_ms,phase,eimsk,fl_delta,fl_total
# countdown 3...2...1
# barrido: la 1a fase con fl_delta~0 senala el INT culpable
# --- fase: +INT1 -> eimsk=0x02
0,1,2,3,370
200,1,2,255,625
400,1,2,256,881
600,1,2,256,1137
800,1,2,257,1394
1000,1,2,257,1651
1200,1,2,257,1908
1400,1,2,257,2165
1600,1,2,258,2423
1800,1,2,257,2680
# fase +INT1 total_ticks_FL=2568
# --- fase: +INT0 -> eimsk=0x03
2000,0,3,265,2945
2200,0,3,258,3203
2400,0,3,257,3460
2600,0,3,258,3718
2800,0,3,258,3976
3000,0,3,258,4234
3200,0,3,257,4491
3400,0,3,258,4749
3600,0,3,258,5007
3800,0,3,259,5266
# fase +INT0 total_ticks_FL=2579
# --- fase: +INT2 -> eimsk=0x07
4000,2,7,265,5531
4200,2,7,258,5789
4400,2,7,259,6048
4600,2,7,259,6307
4800,2,7,259,6566
5000,2,7,258,6824
5200,2,7,259,7083
5400,2,7,259,7342
5600,2,7,259,7601
5800,2,7,258,7859
# fase +INT2 total_ticks_FL=2587
# --- fase: +INT3 -> eimsk=0x0F
6000,3,15,266,8125
6200,3,15,258,8383
6400,3,15,258,8641
6600,3,15,259,8900
6800,3,15,258,9158
7000,3,15,259,9417
7200,3,15,259,9676
7400,3,15,259,9935
7600,3,15,259,10194
7800,3,15,259,10453
# fase +INT3 total_ticks_FL=2588
# --- fase: +INT4 -> eimsk=0x1F
8000,4,31,266,10719
8200,4,31,260,10979
8400,4,31,259,11238
8600,4,31,259,11497
8800,4,31,260,11757
9000,4,31,259,12016
9200,4,31,259,12275
9400,4,31,260,12535
9600,4,31,259,12794
9800,4,31,259,13053
# fase +INT4 total_ticks_FL=2594
# --- fase: +INT5 -> eimsk=0x3F
10000,5,63,267,13320
10200,5,63,259,13579
10400,5,63,260,13839
10600,5,63,260,14099
10800,5,63,260,14359
11000,5,63,260,14619
11200,5,63,259,14878
11400,5,63,260,15138
11600,5,63,259,15397
11800,5,63,259,15656
# fase +INT5 total_ticks_FL=2595
# done - fl_total_final=16284
