timestamp,tiempo_s,banco1_V,banco2_V,pct_b1,pct_b2
2026-06-07 19:21:40,2,0.243,19.150,0.0,100.0
2026-06-07 19:21:41,3,0.243,19.150,0.0,100.0
2026-06-07 19:21:42,4,0.243,19.150,0.0,100.0
2026-06-07 19:21:43,5,0.243,19.150,0.0,100.0
2026-06-07 19:21:44,6,0.243,19.150,0.0,100.0
2026-06-07 19:21:45,7,0.243,19.150,0.0,100.0
2026-06-07 19:21:46,8,0.243,19.150,0.0,100.0
2026-06-07 19:21:47,9,0.243,19.150,0.0,100.0
2026-06-07 19:21:48,10,0.243,19.150,0.0,100.0
2026-06-07 19:21:49,11,0.243,19.150,0.0,100.0
2026-06-07 19:21:50,12,0.243,19.150,0.0,100.0
2026-06-07 19:21:51,13,0.243,19.150,0.0,100.0
2026-06-07 19:21:52,14,0.243,19.150,0.0,100.0
2026-06-07 19:21:53,15,0.243,19.150,0.0,100.0
2026-06-07 19:21:54,16,0.243,19.150,0.0,100.0
2026-06-07 19:21:55,17,0.243,19.150,0.0,100.0
2026-06-07 19:21:56,18,0.243,19.150,0.0,100.0
2026-06-07 19:21:57,19,0.243,19.150,0.0,100.0
2026-06-07 19:21:58,20,0.262,19.150,0.0,100.0
2026-06-07 19:21:59,21,0.243,19.150,0.0,100.0
2026-06-07 19:22:00,22,0.243,19.150,0.0,100.0
2026-06-07 19:22:01,23,0.243,19.150,0.0,100.0
2026-06-07 19:22:02,24,0.243,19.150,0.0,100.0
2026-06-07 19:22:03,25,0.243,19.150,0.0,100.0
2026-06-07 19:22:04,26,0.243,19.150,0.0,100.0
2026-06-07 19:22:05,27,0.243,19.150,0.0,100.0
2026-06-07 19:22:06,28,0.243,19.150,0.0,100.0
2026-06-07 19:22:07,29,0.243,19.150,0.0,100.0
2026-06-07 19:22:08,30,0.243,19.150,0.0,100.0
2026-06-07 19:22:09,31,0.243,19.150,0.0,100.0
2026-06-07 19:22:10,32,0.243,19.150,0.0,100.0
2026-06-07 19:22:11,33,0.243,19.150,0.0,100.0
2026-06-07 19:22:12,34,0.262,19.150,0.0,100.0
2026-06-07 19:22:13,35,0.243,19.150,0.0,100.0
2026-06-07 19:22:14,36,0.262,19.150,0.0,100.0
2026-06-07 19:22:15,37,0.262,19.150,0.0,100.0
2026-06-07 19:22:16,38,0.243,19.150,0.0,100.0
2026-06-07 19:22:17,39,0.243,19.150,0.0,100.0
2026-06-07 19:22:18,40,0.243,19.150,0.0,100.0
2026-06-07 19:22:19,41,0.243,19.150,0.0,100.0
2026-06-07 19:22:20,42,0.243,19.150,0.0,100.0
2026-06-07 19:22:21,43,0.243,19.150,0.0,100.0
2026-06-07 19:22:22,44,0.243,19.150,0.0,100.0
2026-06-07 19:22:23,45,0.243,19.150,0.0,100.0
2026-06-07 19:22:24,46,0.243,19.150,0.0,100.0
2026-06-07 19:22:25,47,0.243,19.150,0.0,100.0
2026-06-07 19:22:26,48,0.243,19.150,0.0,100.0
2026-06-07 19:22:48,1,0.243,19.150,0.0,100.0
2026-06-07 19:22:49,2,0.262,19.150,0.0,100.0
2026-06-07 19:22:50,3,0.262,19.150,0.0,100.0
2026-06-07 19:22:51,4,0.262,19.150,0.0,100.0
2026-06-07 19:22:52,5,0.262,19.150,0.0,100.0
2026-06-07 19:22:53,6,0.262,19.150,0.0,100.0
2026-06-07 19:22:54,7,0.262,19.150,0.0,100.0
2026-06-07 19:22:55,8,0.262,19.150,0.0,100.0
2026-06-07 19:22:56,9,0.243,19.150,0.0,100.0
2026-06-07 19:22:58,10,0.243,19.150,0.0,100.0
2026-06-07 19:22:59,11,0.243,19.150,0.0,100.0
2026-06-07 19:23:00,12,0.243,19.150,0.0,100.0
2026-06-07 19:23:01,13,0.243,19.150,0.0,100.0
2026-06-07 19:23:02,14,0.243,19.150,0.0,100.0
2026-06-07 19:23:03,15,0.262,19.150,0.0,100.0
2026-06-07 19:23:04,16,0.262,19.150,0.0,100.0
2026-06-07 19:23:05,17,0.243,19.150,0.0,100.0
2026-06-07 19:23:06,18,0.262,19.150,0.0,100.0
2026-06-07 19:23:07,19,0.243,19.150,0.0,100.0
2026-06-07 19:23:08,20,0.262,19.150,0.0,100.0
2026-06-07 19:23:09,21,0.262,19.150,0.0,100.0
2026-06-07 19:23:10,22,0.243,19.150,0.0,100.0
2026-06-07 19:23:11,23,0.262,19.150,0.0,100.0
2026-06-07 19:23:12,24,0.262,19.150,0.0,100.0
2026-06-07 19:23:13,25,0.243,19.150,0.0,100.0
2026-06-07 19:23:14,26,0.243,19.150,0.0,100.0
2026-06-07 19:23:15,27,0.243,19.150,0.0,100.0
2026-06-07 19:23:16,28,0.262,19.150,0.0,100.0
2026-06-07 19:23:17,29,0.262,19.150,0.0,100.0
2026-06-07 19:23:18,30,0.262,19.150,0.0,100.0
2026-06-07 19:23:19,31,0.243,19.150,0.0,100.0
2026-06-07 19:23:20,32,0.262,19.150,0.0,100.0
2026-06-07 19:23:21,33,0.243,19.150,0.0,100.0
2026-06-07 19:23:22,34,0.262,19.150,0.0,100.0
2026-06-07 19:23:23,35,0.262,19.150,0.0,100.0
2026-06-07 19:23:24,36,0.262,19.150,0.0,100.0
2026-06-07 19:23:25,37,0.243,19.150,0.0,100.0
