# test_integration_full v1.0
# variant=all-bts7960+rl-l298n duty_target=40 hold_ms=3000 oc_rl=2500
# csv_cols=t_ms,duty,t_fr,t_fl,t_cr,t_cl,t_rr,t_rl,i_fr,i_fl,i_cr,i_cl,i_rr,i_rl,hc_mm,tf_mm,tf_sig,b1_mv,b2_mv,b3_mv,t_b1a,t_b1b,t_b2a,t_b2b
# ina3221 init_ok=0 (0x40 SDA=D42 SCL=D43)
# event=acs_calibration
# acs_zero_mv fr=0 fl=0 cr=0 cl=0 rr=498 rl=0
# countdown 3...
# countdown 2...
# countdown 1...
# event=baseline
0,0,-843,-3115,-3115,-3115,-3756,-3186,0,0,0,0,0,0,0,0,0,0,0,0,100,99,86,82
40,0,-858,-3166,-3166,-3166,-3822,-3237,0,0,0,0,0,0,0,0,0,0,0,0,100,99,86,82
80,0,-873,-3217,-3217,-3217,-3888,-3288,0,0,0,0,0,0,0,0,0,0,0,0,100,99,86,82
120,0,-894,-3269,-3269,-3269,-3961,-3340,0,0,0,0,0,0,0,0,0,0,0,0,100,99,86,82
160,0,-910,-3320,-3320,-3320,-4028,-3391,0,0,0,0,0,0,0,0,0,0,0,0,100,99,86,82
200,0,-964,-3409,-3409,-3409,-4171,-3480,0,0,0,0,0,0,0,0,0,0,0,0,100,100,87,82
# event=oc_cut_rl ma_rl=24926 threshold=2500
240,0,-965,-3415,-3415,-3415,-4178,-3487,25024,24975,24877,24877,23704,24926,0,0,0,0,0,0,100,100,87,82
280,0,-965,-3415,-3415,-3415,-4178,-3487,25024,24975,24975,24975,23704,24926,0,0,0,0,0,0,100,100,87,82
320,0,-965,-3415,-3415,-3415,-4178,-3487,24975,24926,24877,24877,23949,24975,0,0,0,0,0,0,100,100,87,82
# tf02_first_frame dist_mm=1970 sig=7
360,0,-965,-3415,-3415,-3415,-4178,-3487,25024,24975,24975,25024,23753,24975,0,1960,7,0,0,0,100,100,87,82
400,0,-965,-3415,-3415,-3415,-4178,-3487,25024,24926,24780,24877,23753,24926,0,1960,7,0,0,0,35,38,44,49
440,0,-965,-3415,-3415,-3415,-4178,-3487,24926,24926,24877,24975,23802,25024,0,1960,7,0,0,0,35,38,44,49
480,0,-965,-3415,-3415,-3415,-4178,-3487,25024,25024,24926,24926,23753,24926,0,1960,7,0,0,0,35,38,44,49
