# debug_encoders_acs v1.0 (config real bringup 2026-05-31)
# variant=all-bts7960 acs712=6x20A duty_target=40 hold_ms=3000
# csv_cols=t_ms,duty,t_fr,t_fl,t_cr,t_cl,t_rr,t_rl,i_fr,i_fl,i_cr,i_cl,i_rr,i_rl
# countdown 3...
# countdown 2...
# countdown 1...
# event=baseline
2560,40,-7866,0,-3973,2812,-3971,3930,6500,6451,5865,6304,-10899,6207
2600,40,-8004,0,-4068,2880,-4066,4025,6500,6647,5620,6500,-11094,6353
2640,40,-8141,0,-4164,2947,-4162,4120,6500,6451,5816,6647,-10997,6500
2680,40,-8279,0,-4259,3014,-4258,4215,6402,6353,5865,6647,-11045,6549
2720,40,-8416,0,-4355,3082,-4354,4310,6549,6451,5962,6891,-10997,6402
2760,40,-8554,0,-4450,3149,-4450,4404,6304,6549,6011,7038,-10948,6500
2800,40,-8691,0,-4545,3216,-4545,4500,5913,6451,6060,7135,-10899,6500
2840,40,-8829,0,-4641,3284,-4640,4594,6011,6647,6304,6940,-10606,6793
2880,40,-8966,0,-4736,3351,-4736,4689,5865,6353,6158,6842,-11339,6940
2920,40,-9104,0,-4831,3419,-4832,4784,5767,6353,6304,6647,-10801,7184
2960,40,-9242,0,-4927,3487,-4928,4879,5913,6402,6207,6598,-10850,7184
3000,40,-9380,0,-5023,3554,-5023,4974,6011,6353,6451,6695,-10899,7184
3040,40,-9517,0,-5118,3622,-5119,5069,5913,6256,6500,6744,-10801,7233
3080,40,-9656,0,-5214,3690,-5214,5164,6011,6549,6207,6744,-10606,6647
3120,40,-9794,0,-5310,3758,-5310,5260,6353,6402,5962,6940,-10997,6402
3160,40,-9932,0,-5405,3825,-5406,5355,6500,6451,6402,6793,-11143,6304
3200,40,-10070,0,-5501,3892,-5502,5450,6451,6451,5913,6695,-11094,6451
3240,40,-10208,0,-5597,3960,-5598,5545,6647,6451,5816,6353,-10899,6256
3280,40,-10346,0,-5692,4027,-5694,5640,6500,6353,6353,6207,-11094,6549
3320,40,-10485,0,-5788,4095,-5790,5736,6011,6353,6598,6744,-10801,6793
3360,40,-10623,0,-5884,4164,-5886,5831,5962,6451,6109,6891,-10899,6598
3400,40,-10762,0,-5980,4232,-5983,5927,6695,6744,5669,6402,-10752,6353
3440,40,-10900,0,-6076,4300,-6079,6022,6500,6304,6304,6158,-11094,6598
3480,40,-11039,0,-6172,4368,-6175,6118,6207,6256,6011,6549,-10801,6940
3520,40,-11177,0,-6268,4436,-6271,6213,5816,6549,6158,6647,-10508,6744
3560,40,-11315,0,-6364,4504,-6367,6308,6451,6500,5816,6598,-10997,6549
3600,40,-11454,0,-6460,4572,-6463,6404,6940,6304,6109,6451,-11143,6011
3640,40,-11592,0,-6556,4640,-6559,6499,6451,6256,6304,6158,-11045,6744
3680,40,-11731,0,-6652,4708,-6655,6595,6256,6353,6451,6353,-10801,6842
3720,40,-11869,0,-6747,4776,-6751,6690,5913,6647,6158,6695,-10557,6598
3760,40,-12008,0,-6843,4844,-6847,6786,6011,6451,5522,6500,-11241,6353
3800,40,-12147,0,-6939,4911,-6943,6881,6647,6304,6304,6353,-11045,6353
3840,40,-12285,0,-7036,4980,-7040,6977,6207,6304,6647,6891,-10850,6744
3880,40,-12424,0,-7132,5048,-7136,7072,6304,6451,5669,6940,-11094,6207
3920,40,-12563,0,-7228,5116,-7232,7168,6940,6304,6158,6549,-11045,6060
3960,40,-12702,0,-7324,5184,-7328,7264,5962,6353,6500,6011,-10703,6695
4000,40,-12840,0,-7420,5252,-7424,7359,5816,6549,6011,6793,-10557,6549
4040,40,-12979,0,-7516,5321,-7521,7455,6353,6353,5620,6451,-10850,6451
4080,40,-13117,0,-7612,5389,-7617,7550,6451,6402,6402,6256,-11143,5962
4120,40,-13256,0,-7708,5457,-7713,7646,6011,6304,6402,6158,-10801,6744
4160,40,-13394,0,-7804,5525,-7809,7741,5816,6451,6158,6500,-10703,7135
4200,40,-13533,0,-7900,5593,-7905,7837,6402,6451,6402,6744,-10997,6207
4240,40,-13671,0,-7996,5660,-8001,7932,6647,6353,5913,5816,-11045,6158
# event=ramp_down
4280,38,-13814,0,-8095,5729,-8100,8030,6353,6256,6011,6304,-11241,6060
4320,36,-13958,0,-8187,5794,-8192,8122,5962,6402,6793,6598,-10899,7135
4360,34,-14105,0,-8274,5855,-8279,8208,6695,6304,5962,6353,-11045,6256
4400,32,-14257,0,-8356,5913,-8361,8289,6011,6353,6451,6109,-10997,6842
4440,30,-14413,0,-8432,5968,-8438,8365,5865,6549,6304,6842,-11045,6402
4480,28,-14573,0,-8504,6019,-8510,8437,6598,6451,5962,6402,-11094,6353
4520,26,-14739,0,-8571,6066,-8578,8504,6549,6304,6109,6500,-11290,6109
4560,24,-14908,0,-8633,6110,-8640,8566,6158,6207,5913,6158,-11045,6256
4600,22,-15082,0,-8690,6151,-8698,8622,6353,6451,6011,6011,-11143,6256
4640,20,-15260,0,-8742,6189,-8751,8675,6256,6207,6304,6353,-11241,6011
4680,18,-15442,0,-8790,6224,-8799,8722,5816,6402,5718,6402,-10948,6304
4720,16,-15628,0,-8832,6256,-8841,8764,5913,6060,6353,6598,-10948,6158
4760,14,-15819,0,-8869,6286,-8878,8800,6304,6207,6304,6304,-11241,5913
4800,12,-16013,0,-8901,6313,-8910,8832,5816,6549,5865,6109,-11094,6207
4840,10,-16212,0,-8928,6337,-8938,8859,6207,6060,6207,6402,-11290,5962
4880,8,-16414,0,-8950,6357,-8960,8880,6060,6158,6598,6500,-11290,6011
4920,6,-16619,0,-8968,6374,-8978,8897,6256,6207,6109,6060,-11143,6256
4960,4,-16827,0,-8981,6386,-8990,8909,6304,6256,6109,6256,-11192,6158
5000,2,-17039,0,-8988,6393,-8998,8916,6011,6207,6304,6304,-11241,6158
5040,0,-17254,0,-8991,6396,-8999,8920,5962,6109,6207,6207,-11192,6158
# drivers_disabled
# event=idle_freewheel
5080,0,-17487,0,-8990,6395,-8999,8920,4203,4301,4985,4887,8504,4594
5120,0,-17689,0,-8990,6395,-8999,8920,4789,4545,4838,4252,8699,4692
5160,0,-17867,0,-8990,6395,-8999,8920,3567,4252,4985,5180,9530,3714
5200,0,-18022,0,-8990,6395,-8999,8920,4838,5229,5034,4643,8162,3861
5240,0,-18156,0,-8990,6395,-8999,8920,4594,4545,4496,4301,8944,4985
5280,0,-18270,0,-8990,6395,-8999,8920,4252,4447,4643,4203,9042,4936
5320,0,-18365,0,-8990,6395,-8999,8920,4789,4740,4936,4740,8748,4594
5360,0,-18444,0,-8990,6395,-8999,8920,4398,4594,4447,4643,8602,4056
5400,0,-18506,0,-8990,6395,-8999,8920,5131,5034,4447,4398,9188,4985
5440,0,-18554,0,-8990,6395,-8999,8920,4643,4447,3958,4496,8993,4545
5480,0,-18589,0,-8990,6395,-8999,8920,4398,4301,4398,4398,8455,4105
5520,0,-18611,0,-8990,6395,-8999,8920,5083,4936,5131,5180,9628,5229
5560,0,-18622,0,-8990,6395,-8999,8920,4838,4740,4789,4936,9384,5034
5600,0,-18622,0,-8990,6395,-8999,8920,5131,4985,4936,5083,9579,5278
5640,0,-18622,0,-8990,6395,-8999,8920,5278,5180,5180,5278,9579,5522
5680,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5180,5229,9677,5278
5720,0,-18622,0,-8990,6395,-8999,8920,5278,5327,5376,5278,9579,5229
5760,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5131,5229,9628,5327
5800,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5229,5278,9579,5278
5840,0,-18622,0,-8990,6395,-8999,8920,5376,5180,5180,5278,9579,5278
5880,0,-18622,0,-8990,6395,-8999,8920,5376,5327,5180,5180,9530,5229
5920,0,-18622,0,-8990,6395,-8999,8920,5229,5229,5229,5278,9579,5229
5960,0,-18622,0,-8990,6395,-8999,8920,5376,5229,5180,5425,9628,5278
6000,0,-18622,0,-8990,6395,-8999,8920,5327,5327,5229,5229,9579,5229
6040,0,-18622,0,-8990,6395,-8999,8920,5327,5180,5131,5229,9579,5278
6080,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5229,5180,9579,5278
6120,0,-18622,0,-8990,6395,-8999,8920,5278,5229,5229,5278,9579,5229
6160,0,-18622,0,-8990,6395,-8999,8920,5376,5327,5180,5131,9579,5278
6200,0,-18622,0,-8990,6395,-8999,8920,5229,5278,5229,5229,9726,5278
6240,0,-18622,0,-8990,6395,-8999,8920,5425,5278,5131,5278,9628,5327
6280,0,-18622,0,-8990,6395,-8999,8920,5278,5327,5229,5278,9530,5229
6320,0,-18622,0,-8990,6395,-8999,8920,5376,5229,5180,5229,9579,5278
6360,0,-18622,0,-8990,6395,-8999,8920,5376,5376,5229,5278,9579,5278
6400,0,-18622,0,-8990,6395,-8999,8920,5327,5229,5180,5278,9530,5229
6440,0,-18622,0,-8990,6395,-8999,8920,5327,5229,5229,5327,9530,5229
6480,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5278,5229,9530,5229
6520,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5278,5278,9579,5278
6560,0,-18622,0,-8990,6395,-8999,8920,5327,5229,5376,5278,9579,5327
6600,0,-18622,0,-8990,6395,-8999,8920,5327,5327,5278,5229,9481,5180
6640,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5376,5278,9579,5376
6680,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5229,5278,9530,5278
6720,0,-18622,0,-8990,6395,-8999,8920,5376,5229,5131,5229,9579,5278
6760,0,-18622,0,-8990,6395,-8999,8920,5327,5327,5278,5278,9677,5229
6800,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5131,5229,9579,5327
6840,0,-18622,0,-8990,6395,-8999,8920,5327,5327,5229,5278,9726,5229
6880,0,-18622,0,-8990,6395,-8999,8920,5376,5229,5131,5229,9579,5376
6920,0,-18622,0,-8990,6395,-8999,8920,5327,5327,5278,5278,9530,5278
6960,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5131,5229,9579,5327
7000,0,-18622,0,-8990,6395,-8999,8920,5278,5278,5229,5278,9579,5229
7040,0,-18622,0,-8990,6395,-8999,8920,5571,5278,5083,5229,9530,5376
7080,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5180,5229,9530,5278
7120,0,-18622,0,-8990,6395,-8999,8920,5327,5229,5180,5229,9579,5376
7160,0,-18622,0,-8990,6395,-8999,8920,5278,5327,5278,5327,9530,5229
7200,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5131,5229,9579,5327
7240,0,-18622,0,-8990,6395,-8999,8920,5278,5278,5229,5278,9481,5278
7280,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5131,5229,9579,5278
7320,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5229,5327,9579,5278
7360,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5278,5278,9579,5327
