# test_integration_full v1.0
# variant=all-bts7960+rl-l298n duty_target=40 hold_ms=3000 oc_rl=2500
# csv_cols=t_ms,duty,t_fr,t_fl,t_cr,t_cl,t_rr,t_rl,i_fr,i_fl,i_cr,i_cl,i_rr,i_rl,hc_mm,tf_mm,tf_sig,b1_mv,b2_mv,b3_mv,t_b1a,t_b1b,t_b2a,t_b2b
# ina3221 init_ok=0 (0x40 SDA=D42 SCL=D43)
# event=acs_calibration
# acs_zero_mv fr=2473 fl=2468 cr=2463 cl=2473 rr=2942 rl=2473
# countdown 3...
# countdown 2...
# countdown 1...
# event=baseline
# tf02_first_frame dist_mm=1930 sig=7
760,10,-796,19,-27,27,-21,15,-391,244,0,146,-21260,293,0,1930,7,0,0,0,32,37,41,43
800,12,-1008,39,-48,47,-42,36,-342,244,-439,391,-21505,244,0,1930,7,0,0,0,31,33,36,37
840,14,-1205,63,-73,70,-67,59,293,244,-342,293,-21554,97,0,1930,7,0,0,0,31,33,36,37
880,16,-1400,92,-103,97,-96,88,-195,293,-684,342,-21358,391,0,1930,7,0,0,0,31,33,36,37
920,18,-1591,126,-138,128,-131,121,-48,97,-439,146,-21309,195,0,1930,7,0,0,0,31,33,36,37
960,20,-1778,164,-177,162,-170,160,-342,195,-48,48,-21358,488,0,1930,7,0,0,0,31,33,36,37
1000,22,-1972,212,-226,201,-218,207,635,293,-293,342,-21309,146,0,1930,7,0,0,0,32,33,35,39
1040,24,-2150,261,-276,241,-268,256,-342,97,-48,48,-21407,537,0,1930,7,0,0,0,32,33,35,39
1080,26,-2326,315,-331,285,-323,310,-48,0,-97,97,-11925,293,0,1930,7,0,0,0,32,33,35,39
1120,28,-2496,374,-392,333,-383,369,342,488,-293,244,-21456,97,0,1930,7,0,0,0,32,33,35,39
1160,30,-2663,438,-457,385,-448,433,-48,146,48,97,-21407,488,0,1930,7,0,0,0,32,33,35,39
1200,32,-2836,512,-532,445,-522,506,-342,-48,-342,391,-22482,586,0,1930,7,0,0,0,31,33,35,39
1240,34,-2995,586,-608,505,-597,581,244,684,-684,293,-21456,97,0,1930,7,0,0,0,31,33,35,39
1280,36,-3150,666,-688,569,-678,660,-537,293,-488,488,-21309,293,0,1930,7,0,0,0,31,33,35,39
1320,38,-3299,751,-774,636,-763,744,0,586,-488,586,-21407,97,0,1930,7,0,0,0,31,33,35,39
1360,40,-3445,840,-865,707,-853,832,-439,342,-391,488,-21945,391,0,1930,7,0,0,0,31,33,35,39
# event=hold
1400,40,-3597,942,-968,788,-957,934,-342,-146,342,195,-21358,537,0,1930,7,0,0,0,32,34,36,35
1440,40,-3737,1038,-1065,863,-1054,1030,-97,782,-439,97,-22091,-97,0,1930,7,0,0,0,32,34,36,35
1480,40,-3878,1135,-1163,939,-1151,1125,-146,97,48,-97,-21554,97,0,1930,7,0,0,0,32,34,36,35
1520,40,-4018,1232,-1261,1015,-1248,1221,-293,97,146,-97,-21309,391,0,1930,7,0,0,0,32,34,36,35
1560,40,-4159,1329,-1358,1091,-1346,1318,-488,391,-293,293,-21358,97,0,1930,7,0,0,0,32,34,36,35
1600,40,-4309,1433,-1462,1173,-1450,1420,-97,48,-244,-146,-21554,146,0,1930,7,0,0,0,29,32,36,36
1640,40,-4450,1530,-1561,1250,-1548,1516,195,97,-97,0,-21554,97,0,1930,7,0,0,0,29,32,36,36
1680,40,-4590,1627,-1658,1326,-1645,1612,-342,97,195,-146,-21407,293,0,1930,7,0,0,0,29,32,36,36
