# debug_encoders_drive v1.0
# csv_cols=t_ms,t_fr,t_fl,t_cr,t_cl,t_rr,t_rl
# countdown 3...2...1
# ramp_up
# hold - imprimiendo ticks
0,-2139,0,-396,305,-388,377
200,-2759,0,-668,505,-660,648
400,-3380,0,-940,704,-934,918
600,-4001,0,-1213,900,-1208,1190
800,-4624,0,-1486,1099,-1482,1461
1000,-5248,0,-1759,1299,-1756,1733
1200,-5872,0,-2033,1500,-2031,2005
1400,-6497,0,-2306,1701,-2306,2278
1600,-7121,0,-2580,1903,-2581,2550
1800,-7746,0,-2854,2106,-2856,2823
2000,-8370,0,-3127,2309,-3131,3096
2200,-8995,0,-3401,2511,-3406,3368
2400,-9619,0,-3675,2715,-3681,3641
2600,-10244,0,-3949,2918,-3956,3914
2800,-10868,0,-4223,3122,-4231,4186
3000,-11493,0,-4497,3325,-4507,4459
3200,-12118,0,-4771,3529,-4782,4732
3400,-12743,0,-5045,3734,-5057,5005
3600,-13368,0,-5319,3938,-5332,5279
3800,-13993,0,-5593,4142,-5608,5552
4000,-14619,0,-5868,4347,-5883,5826
4200,-15244,0,-6142,4552,-6158,6099
4400,-15869,0,-6417,4756,-6433,6372
4600,-16494,0,-6692,4960,-6708,6646
4800,-17120,0,-6966,5166,-6983,6919
5000,-17746,0,-7241,5371,-7259,7193
5200,-18372,0,-7516,5575,-7534,7467
5400,-18998,0,-7791,5776,-7809,7740
5600,-19623,0,-8067,5979,-8085,8013
5800,-20248,0,-8342,6183,-8360,8287
6000,-20874,0,-8617,6387,-8635,8560
6200,-21499,0,-8892,6590,-8911,8834
6400,-22125,0,-9167,6795,-9186,9107
6600,-22752,0,-9442,7000,-9461,9381
6800,-23378,0,-9717,7205,-9737,9654
7000,-24005,0,-9993,7410,-10012,9928
7200,-24631,0,-10268,7615,-10288,10202
7400,-25260,0,-10544,7821,-10564,10476
7600,-25888,0,-10820,8025,-10840,10751
7800,-26516,0,-11096,8227,-11116,11025
# ramp_down
# done - ticks finales:
8000,-29365,0,-11755,8736,-11776,11680
