# debug_encoders_drive v1.0
# csv_cols=t_ms,t_fr,t_fl,t_cr,t_cl,t_rr,t_rl
# countdown 3...2...1
# ramp_up
# hold - imprimiendo ticks
0,-2139,0,-397,311,-389,378
200,-2760,0,-669,515,-661,649
400,-3382,0,-941,720,-935,920
600,-4004,0,-1214,921,-1208,1191
800,-4628,0,-1487,1125,-1482,1463
1000,-5253,0,-1760,1331,-1756,1735
1200,-5878,0,-2034,1537,-2030,2007
1400,-6503,0,-2307,1743,-2305,2279
1600,-7128,0,-2581,1950,-2579,2551
1800,-7753,0,-2855,2157,-2854,2823
2000,-8378,0,-3129,2364,-3128,3095
2200,-9003,0,-3402,2572,-3403,3367
2400,-9628,0,-3676,2780,-3678,3639
2600,-10253,0,-3950,2988,-3953,3912
2800,-10879,0,-4224,3196,-4228,4184
3000,-11505,0,-4498,3404,-4502,4457
3200,-12131,0,-4772,3613,-4777,4729
3400,-12758,0,-5046,3821,-5052,5002
3600,-13384,0,-5320,4029,-5327,5275
3800,-14011,0,-5595,4238,-5602,5548
4000,-14638,0,-5869,4447,-5877,5821
4200,-15265,0,-6143,4656,-6152,6094
4400,-15892,0,-6417,4865,-6427,6367
4600,-16519,0,-6691,5073,-6703,6640
4800,-17146,0,-6966,5283,-6978,6913
5000,-17773,0,-7241,5492,-7253,7186
5200,-18400,0,-7515,5701,-7528,7460
5400,-19026,0,-7789,5910,-7803,7733
5600,-19654,0,-8064,6120,-8079,8006
5800,-20281,0,-8338,6329,-8354,8279
6000,-20909,0,-8613,6538,-8629,8553
6200,-21536,0,-8887,6747,-8904,8826
6400,-22164,0,-9162,6957,-9180,9100
6600,-22792,0,-9437,7166,-9455,9374
6800,-23420,0,-9712,7375,-9730,9647
7000,-24048,0,-9987,7585,-10006,9921
7200,-24676,0,-10262,7795,-10281,10195
7400,-25305,0,-10537,8005,-10557,10470
7600,-25934,0,-10813,8214,-10833,10744
7800,-26563,0,-11088,8424,-11110,11019
# ramp_down
# done - ticks finales:
8000,-29414,0,-11749,8944,-11772,11673
