timestamp,tiempo_s,banco1_V,banco2_V,pct_b1,pct_b2
2026-06-07 19:44:44,11,15.478,15.840,76.4,82.9
2026-06-07 19:44:45,12,15.494,15.840,76.7,82.9
2026-06-07 19:44:46,13,15.478,15.840,76.4,82.9
2026-06-07 19:44:47,14,15.478,15.840,76.4,82.9
2026-06-07 19:44:48,15,15.494,15.840,76.7,82.9
2026-06-07 19:44:49,16,15.478,15.840,76.4,82.9
2026-06-07 19:44:50,17,15.478,15.840,76.4,82.9
2026-06-07 19:44:51,18,15.478,15.840,76.4,82.9
2026-06-07 19:44:52,19,15.494,15.840,76.7,82.9
2026-06-07 19:44:53,20,15.494,15.840,76.7,82.9
2026-06-07 19:44:54,21,15.494,15.840,76.7,82.9
2026-06-07 19:44:55,22,15.478,15.840,76.4,82.9
2026-06-07 19:44:56,23,15.478,15.840,76.4,82.9
2026-06-07 19:44:57,24,15.478,15.863,76.4,83.3
2026-06-07 19:44:58,25,15.494,15.885,76.7,83.7
2026-06-07 19:44:59,26,15.478,15.885,76.4,83.7
2026-06-07 19:45:00,27,15.494,15.863,76.7,83.3
2026-06-07 19:45:01,28,15.478,15.885,76.4,83.7
